"2454","Dolls & Bears","Dolls","Barbie Vintage (Pre-1973)","Clothing & Accessories","Clothing",,,"2454","2453"
"2455","Dolls & Bears","Dolls","Barbie Vintage (Pre-1973)","Clothing & Accessories","Shoes",,,"2455","2453"
"36536","Dolls & Bears","Dolls","Barbie Vintage (Pre-1973)","Clothing & Accessories","Mixed Lots",,,"36536","2453"
"251","Dolls & Bears","Dolls","Barbie Vintage (Pre-1973)","Clothing & Accessories","Other",,,"251","2453"
"15969","Dolls & Bears","Dolls","Barbie Vintage (Pre-1973)","Friends & Family",,,,"15969","15965"
"15970","Dolls & Bears","Dolls","Barbie Vintage (Pre-1973)","Friends & Family","Francie, Casey & Twiggy",,,"15970","15969"
"15971","Dolls & Bears","Dolls","Barbie Vintage (Pre-1973)","Friends & Family","Ken & Same-Size Friends",,,"15971","15969"
"15972","Dolls & Bears","Dolls","Barbie Vintage (Pre-1973)","Friends & Family","Midge & Same-Size Friends",,,"15972","15969"
"15973","Dolls & Bears","Dolls","Barbie Vintage (Pre-1973)","Friends & Family","Skipper & Same-Size Friends",,,"15973","15969"
"48953","Dolls & Bears","Dolls","Barbie Vintage (Pre-1973)","Friends & Family","Tutti, Todd & Chris",,,"48953","15969"
"2452","Dolls & Bears","Dolls","Barbie Vintage (Pre-1973)","Friends & Family","Other",,,"2452","15969"
"15967","Dolls & Bears","Dolls","Barbie Vintage (Pre-1973)","Structures & Furniture",,,,"15967","15965"
"15968","Dolls & Bears","Dolls","Barbie Vintage (Pre-1973)","Vehicles",,,,"15968","15965"
"158451","Dolls & Bears","Dolls","Barbie Vintage (Pre-1973)","Vintage Reproductions",,,,"158451","15965"
"48954","Dolls & Bears","Dolls","Barbie Vintage (Pre-1973)","Mixed Lots",,,,"48954","15965"
"15974","Dolls & Bears","Dolls","Barbie Vintage (Pre-1973)","Other",,,,"15974","15965"
"15949","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)",,,,,"15949","238"
"15950","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls",,,,"15950","15949"
"48912","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Anniversary Dolls",,,"48912","15950"
"48913","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Artist Dolls - OOAK & Nudes",,,"48913","15950"
"84628","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Artist Dolls - OOAK & Nudes","OOAK",,"84628","48913"
"15954","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Artist Dolls - OOAK & Nudes","Nude Dolls",,"15954","48913"
"48914","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Artist Dolls - OOAK & Nudes","Supplies",,"48914","48913"
"48915","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Athlete Barbie",,,"48915","15950"
"48916","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Bridal Barbie",,,"48916","15950"
"48917","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Career Barbie",,,"48917","15950"
"15952","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Designer Editions, Bob Mackie",,,"15952","15950"
"48932","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Dolls of the World",,,"48932","15950"
"48933","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Fairytale Barbie",,,"48933","15950"
"48922","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Fairytale Barbie","Cinderella",,"48922","48933"
"36529","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Fairytale Barbie","Disney",,"36529","48933"
"160826","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Fairytale Barbie","Fairytopia",,"160826","48933"
"160827","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Fairytale Barbie","Island Princess",,"160827","48933"
"38260","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Fairytale Barbie","Nutcracker",,"38260","48933"
"36534","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Fairytale Barbie","Rapunzel",,"36534","48933"
"52332","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Fairytale Barbie","Swan Lake",,"52332","48933"
"36535","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Fairytale Barbie","Wizard of Oz",,"36535","48933"
"48934","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Fairytale Barbie","Other",,"48934","48933"
"160828","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Flowers in Fashion",,,"160828","15950"
"48935","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Happy Birthday Barbie",,,"48935","15950"
"48936","Dolls & Bears","Dolls","Barbie Contemporary (1973-Now)","Barbie Dolls","Holiday Barbie",,,"48936","15950"
